Scenario,FR,CSL,AvgInventory,TotalHoldingCost,TotalStockoutCost,TotalCost,StockoutDays,OrdersPlacedCount,FR_delta,FR_delta_pct,CSL_delta,CSL_delta_pct,AvgInventory_delta,AvgInventory_delta_pct,TotalHoldingCost_delta,TotalHoldingCost_delta_pct,TotalStockoutCost_delta,TotalStockoutCost_delta_pct,TotalCost_delta,TotalCost_delta_pct,StockoutDays_delta,StockoutDays_delta_pct,OrdersPlacedCount_delta,OrdersPlacedCount_delta_pct
baseline,0.15799225197911404,0.1166666666666667,21.066666666666666,1264.0,49990.0,51254.0,53,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supplier_delay_plus2,0.10948785292186473,0.09999999999999998,19.4,1164.0,54250.0,55414.0,54,19,-0.048504399057249306,-30.700492239113977,-0.01666666666666672,-14.285714285714327,-1.6666666666666679,-7.911392405063298,-100.0,-7.9113924050632916,4260.0,8.521704340868174,4160.0,8.116439692511804,1.0,1.8867924528301887,4.0,26.666666666666668
demand_spike_15pct,0.13487836476176768,0.1166666666666667,15.883333333333333,953.0,60100.0,61053.0,53,26,-0.023113887217346363,-14.629759958356649,0.0,0.0,-5.183333333333334,-24.604430379746837,-311.0,-24.604430379746834,10110.0,20.224044808961793,9799.0,19.11850782377961,0.0,0.0,11.0,73.33333333333333
policy_raise_sS,0.4645289915268317,0.35,45.8,2748.0,32230.0,34978.0,39,20,0.30653673954771765,194.02010902929632,0.23333333333333328,199.99999999999991,24.73333333333333,117.40506329113923,1484.0,117.40506329113924,-17760.0,-35.527105421084215,-16276.0,-31.755570296952435,-14.0,-26.41509433962264,5.0,33.333333333333336
lognormal_lt,0.08491971527892733,0.08333333333333337,18.55,1113.0,55280.0,56393.0,55,16,-0.07307253670018671,-46.250708996696,-0.033333333333333326,-28.57142857142856,-2.5166666666666657,-11.946202531645564,-151.0,-11.94620253164557,5290.0,10.582116423284656,5139.0,10.026534514379366,2.0,3.7735849056603774,1.0,6.666666666666667
